SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,TiO2,SO3,Si,Al,Fe,Ca,Mg,Na,K,Ti,TS,GSAsh,GSAsh_Dry,Standard_Ash,MnO,Ash_Deformation,Ash_Softening,Ash_Fluid
29.5,21.4,41.6,0.71,0.282,2.7,0.938,0.602,1.18,29600.0,24300.0,62500.0,1090.0,365.0,4300.0,1680.0,773.0,0.488,20.7,21.5,19.43,0.0058,2040.0,2150.0,2330.0
43.6,26.4,17.0,2.83,0.996,0.338,2.21,1.17,1.88,46000.0,31500.0,26900.0,4560.0,1350.0,565.0,4160.0,1580.0,0.756,22.4,22.6,18.9,0.018,2200.0,2280.0,2390.0
33.8,28.4,13.2,7.03,1.53,0.446,1.94,1.02,9.53,14600.0,13900.0,8540.0,4640.0,851.0,305.0,1490.0,564.0,3.92,9.0,9.25,2.44,0.019,2410.0,2470.0,2570.0
47.5,22.7,20.3,0.448,0.681,0.405,3.16,0.903,0.925,27700.0,15000.0,17700.0,399.0,512.0,374.0,3280.0,674.0,0.375,12.3,12.5,11.48,0.012,2220.0,2320.0,2380.0
52.0,28.5,4.72,1.82,1.24,1.01,2.37,1.61,2.85,11100.0,6910.0,1510.0,595.0,343.0,343.0,901.0,439.0,1.16,4.5,4.57,3.92,0.012,2500.0,2540.0,2650.0
49.2,25.5,10.8,2.45,1.26,0.405,3.51,1.27,2.58,76700.0,45000.0,25200.0,5830.0,2530.0,1000.0,9730.0,2530.0,1.05,32.8,33.3,21.7,0.015,2300.0,2340.0,2390.0
59.9,26.1,4.58,1.11,1.11,0.527,2.86,1.27,1.35,43800.0,21600.0,5010.0,1240.0,1050.0,610.0,3720.0,1190.0,0.549,15.4,15.7,13.68,0.0089,2520.0,2590.0,2660.0
41.9,32.7,9.27,2.37,0.88,0.135,1.84,1.06,3.02,6470.0,5720.0,2140.0,559.0,175.0,33.0,505.0,209.0,1.25,3.2,3.3,3.3,0.016,2910.0,2910.0,2910.0
53.4,28.5,3.5,4.5,0.93,1.28,1.5,1.9,5.5,23700.0,14300.0,2320.0,3050.0,531.0,901.0,1180.0,1080.0,2.29,9.1,9.48,9.9,0.01,2430.0,2480.0,2780.0
49.6,34.0,5.29,0.868,0.73,0.446,2.76,1.25,1.25,17100.0,13300.0,2720.0,456.0,324.0,243.0,1690.0,552.0,0.504,7.3,7.36,8.0,0.0066,2800.0,2800.0,2800.0
49.0,25.0,6.8,1.1,0.963,0.243,2.5,1.2,1.6,16000.0,9230.0,3320.0,548.0,405.0,126.0,1450.0,501.0,0.667,6.7,6.98,9.6,0.011,2840.0,2890.0,2910.0
55.3,10.6,6.58,10.4,1.18,0.486,0.216,1.62,8.68,37200.0,8060.0,6620.0,10600.0,1020.0,518.0,259.0,1400.0,3.76,13.3,14.4,13.67,0.033,2120.0,2470.0,2550.0
41.1,26.1,15.0,1.6,1.16,0.567,3.3,1.1,2.4,6000.0,4320.0,3280.0,357.0,219.0,131.0,858.0,206.0,0.968,3.1,3.13,4.9,0.011,2245.0,2345.0,2460.0
43.0,23.3,19.6,1.72,0.896,0.243,2.87,0.819,1.75,8130.0,4970.0,5540.0,497.0,218.0,72.8,966.0,198.0,0.707,4.0,4.04,3.88,0.0391,1940.0,2120.0,2290.0
26.0,19.0,41.0,1.9,0.382,0.27,0.48,0.83,3.5,10400.0,8590.0,24500.0,1160.0,196.0,171.0,341.0,424.0,1.46,8.2,8.54,8.1,0.0142,2120.0,2170.0,2470.0
41.7,28.5,20.2,1.2,0.548,0.351,1.25,0.936,1.5,15100.0,11700.0,10900.0,667.0,256.0,202.0,807.0,434.0,0.612,7.6,7.76,7.26,0.0061,2560.0,2620.0,2710.0
47.3,34.0,6.71,1.2,0.78,0.189,2.57,1.19,1.83,14500.0,11800.0,3080.0,565.0,309.0,92.0,1410.0,467.0,0.761,6.3,6.58,5.36,0.0079,2800.0,2800.0,2800.0
38.3,18.2,5.7,15.3,1.83,0.891,0.91,1.4,8.8,24900.0,13400.0,5550.0,15200.0,1530.0,918.0,1050.0,1160.0,3.55,13.8,13.9,13.8,0.05,2215.0,2345.0,2410.0
38.3,20.7,30.1,2.08,0.843,0.0653,0.674,0.733,1.84,23700.0,12400.0,16500.0,1530.0,650.0,56.1,711.0,619.0,0.761,10.6,10.9,10.13,0.00996,2118.0,2215.0,2302.0
40.2,22.1,14.2,5.08,1.49,0.176,2.54,0.92,7.5,9300.0,5790.0,4910.0,1800.0,445.0,64.3,1040.0,272.0,3.03,4.9,4.95,17.5,0.069,2645.0,2760.0,2800.0
39.2,20.8,19.2,6.12,1.24,0.351,2.81,0.786,4.38,22800.0,13700.0,16700.0,5450.0,936.0,324.0,2920.0,586.0,1.78,12.3,12.5,10.9,0.029,2000.0,2090.0,2170.0
48.4,30.1,8.29,0.798,0.896,0.257,2.49,2.04,1.0,28700.0,20200.0,7360.0,724.0,686.0,241.0,2630.0,1550.0,0.406,12.5,12.7,11.73,0.009,2630.0,2770.0,2800.0
31.7,20.6,31.7,2.9,0.996,0.432,2.12,0.669,3.35,4510.0,3320.0,6760.0,630.0,183.0,97.4,536.0,122.0,1.36,3.0,3.04,2.58,0.024,2030.0,2160.0,2530.0
34.8,20.2,36.6,0.854,1.23,0.162,1.48,0.97,1.43,23600.0,15500.0,37200.0,886.0,1070.0,174.0,1790.0,842.0,0.583,14.2,14.5,11.69,0.02,1950.0,2060.0,2370.0
50.1,31.8,8.29,0.462,0.631,0.311,1.69,1.25,0.575,27600.0,19800.0,6840.0,389.0,448.0,271.0,1660.0,884.0,0.232,11.7,11.8,11.43,0.01,2800.0,2800.0,2800.0
39.6,15.5,22.2,7.87,0.93,0.473,2.26,0.836,3.48,48000.0,21300.0,40200.0,14600.0,1450.0,909.0,4880.0,1300.0,1.41,25.6,26.0,23.5,0.042,1840.0,1980.0,2060.0
57.1,28.7,6.49,0.276,0.802,0.257,3.1,1.29,0.588,77400.0,43500.0,12500.0,488.0,1400.0,546.0,7610.0,2190.0,0.237,28.6,28.7,25.6,0.00866,2800.0,2800.0,2800.0
48.6,36.4,5.33,0.756,0.797,0.243,2.43,1.11,0.775,14000.0,11900.0,2300.0,333.0,296.0,111.0,1250.0,411.0,0.319,6.0,6.17,5.26,0.018,2800.0,2800.0,2800.0
57.8,29.8,3.88,0.728,0.747,0.176,2.44,1.62,0.6,41600.0,24200.0,4170.0,800.0,692.0,200.0,3120.0,1490.0,0.246,15.0,15.4,14.36,0.0066,2800.0,2800.0,2800.0
51.9,27.8,4.28,0.52,0.963,0.54,2.95,1.66,1.99,24400.0,14800.0,3020.0,374.0,585.0,403.0,2470.0,1000.0,0.802,10.0,10.1,9.85,0.12,2730.0,2800.0,2800.0
